estimation,coef,label
theta_dml,0.026496861,DoubleML with cross-fitting
theta_dml,0.016423626,DoubleML with cross-fitting
theta_dml,-0.074278089,DoubleML with cross-fitting
theta_dml,-0.014703727,DoubleML with cross-fitting
theta_dml,-0.038408372,DoubleML with cross-fitting
theta_dml,-0.050007007,DoubleML with cross-fitting
theta_dml,0.059168622,DoubleML with cross-fitting
theta_dml,-0.027370584,DoubleML with cross-fitting
theta_dml,-0.048373648,DoubleML with cross-fitting
theta_dml,0.08377338,DoubleML with cross-fitting
theta_dml,0.0401608,DoubleML with cross-fitting
theta_dml,-0.01765461,DoubleML with cross-fitting
theta_dml,-0.03299471,DoubleML with cross-fitting
theta_dml,-0.048833473,DoubleML with cross-fitting
theta_dml,-0.018169957,DoubleML with cross-fitting
theta_dml,-0.091592708,DoubleML with cross-fitting
theta_dml,-0.037321788,DoubleML with cross-fitting
theta_dml,0.048922849,DoubleML with cross-fitting
theta_dml,0.02015904,DoubleML with cross-fitting
theta_dml,-0.00280619700000001,DoubleML with cross-fitting
theta_dml,-0.05917716,DoubleML with cross-fitting
theta_dml,-0.012208944,DoubleML with cross-fitting
theta_dml,0.003975646,DoubleML with cross-fitting
theta_dml,-0.00862109,DoubleML with cross-fitting
theta_dml,0.024024331,DoubleML with cross-fitting
theta_dml,-0.020913258,DoubleML with cross-fitting
theta_dml,-0.00545458500000001,DoubleML with cross-fitting
theta_dml,0.065138341,DoubleML with cross-fitting
theta_dml,0.00371681599999996,DoubleML with cross-fitting
theta_dml,-0.04274488,DoubleML with cross-fitting
theta_dml,0.027315906,DoubleML with cross-fitting
theta_dml,0.023266212,DoubleML with cross-fitting
theta_dml,0.094335656,DoubleML with cross-fitting
theta_dml,0.029733774,DoubleML with cross-fitting
theta_dml,-0.02681831,DoubleML with cross-fitting
theta_dml,0.036626049,DoubleML with cross-fitting
theta_dml,0.015769211,DoubleML with cross-fitting
theta_dml,0.051253541,DoubleML with cross-fitting
theta_dml,-0.024190464,DoubleML with cross-fitting
theta_dml,0.040341285,DoubleML with cross-fitting
theta_dml,0.0335430289999999,DoubleML with cross-fitting
theta_dml,0.0654228650000001,DoubleML with cross-fitting
theta_dml,-0.099847824,DoubleML with cross-fitting
theta_dml,0.049123154,DoubleML with cross-fitting
theta_dml,0.100493796,DoubleML with cross-fitting
theta_dml,0.095089836,DoubleML with cross-fitting
theta_dml,0.051132521,DoubleML with cross-fitting
theta_dml,0.020290454,DoubleML with cross-fitting
theta_dml,0.000975767999999988,DoubleML with cross-fitting
